# 勋伯格小调综合练习：四部写作无法实现的相邻和弦进行（自动生成，请勿手改）
# 重刷：./gradlew.bat :theory:jvmTest --tests "*SchoenbergMinorForbiddenTransitionGenerator*" -Pschoenberg.forbidden.write=true
# 判据：从小调综合练习程序自身提取的硬约束（一般四部规则 + 完整性/重复/共同音/减增预备解决/旋律进行）下，两拍相邻无任何合规四部实现。
# 规则自动继承练习：新增 typed 规则后重刷即生效。判据在小调内调性无关（a 小调探测）。
# 格式：<度数/性质/规模/转位> => <度数/性质/规模/转位>    # 人类可读罗马标记
#
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/FIRST_INVERSION    # I65 => vii°6
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/ROOT_POSITION    # I65 => vii°
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED/TRIAD/SECOND_INVERSION    # I65 => vii°64
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/FIRST_INVERSION    # I65 => vii°65
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/ROOT_POSITION    # I65 => vii°7
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/SECOND_INVERSION    # I65 => vii°43
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/DIMINISHED7/SEVENTH/THIRD_INVERSION    # I65 => vii°42
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/FIRST_INVERSION    # I65 => VII6
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/ROOT_POSITION    # I65 => VII
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_FRENCH/7 => 7/MAJOR/TRIAD/SECOND_INVERSION    # I65 => VII64
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/FIRST_INVERSION    # I65 => III+6
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/ROOT_POSITION    # I65 => III+
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/AUGMENTED/TRIAD/SECOND_INVERSION    # I65 => III+64
1/CUSTOM/SEVENTH/FIRST_INVERSION@-1/AUGMENTED_SIXTH_GERMAN/7 => 3/MAJOR/TRIAD/FIRST_INVERSION    # I65 => III6
